article id ,title,author,summary
A00011,Is Elon Musk buying Fortnite? Explained,Matthew Wilkins,"Is Elon Musk buying Fortnite? Well, although he has the money to donate to streamers and buy Twitter, he's not going to be purchasing the game anytime soon. Despite being the richest person in the world, he has no interest in the comings and goings of the metaverse.
In fact, it's doubtful if he's ever played a round of Fortnite Battle Royale in his life. Given that he's aiming to put humans on Mars by 2050, create a neurolink between man and machine, and provide super-fast internet worldwide, purchasing a battle royale game is not his modus operandi."
A00012,Elon Musk's Secret Back-and-Forth With Riot Games Before $44 Billion Twitter Move Breaks the Internet,Shivaditya Ghoshal,"Published 10/01/2022, 6:17 AM EDTAmidst the court hearings for Twitter vs Elon Musk, it was recently leaked that many people across various fields and backgrounds texted the billionaire Tesla CEO for his take on buying Twitter and neutralizing it. These leaked messages have therefore brought a lot of heat and controversy by users, but also a lot of support from fans.ADVERTISEMENTArticle continues below this adAnd amongst all these texts there was also a text from Riot Games' founder Marc Merill, who said that he feels Elon might be the new Batman!ADVERTISEMENTArticle continues below this adRiot Games' founder thinks Elon Musk is a 'hero'While the Twitter versus Elon Musk court drama is supposedly the most awaited event of the year, it was brought to light recently when it came to notice that the big tech companies have a huge supporting side for Elon Musk."
A00013,Celeb Hollywood Agent Reportedly Tried to Broker Deal Ahead of Musk vs Twitter Trial,Svetlana Ekimenko,"https://sputniknews.com/20221002/celeb-hollywood-agent-reportedly-tried-to-broker-deal-ahead-of-musk-vs-twitter-trial-1101439635.htmlCeleb Hollywood Agent Reportedly Tried to Broker Deal Ahead of Musk vs Twitter TrialCeleb Hollywood Agent Reportedly Tried to Broker Deal Ahead of Musk vs Twitter TrialTesla CEO Elon Musk and Twitter will face off in a Delaware court in October over the disputed $44 billion merger agreement with the social media platform that... 02.10.2022, Sputnik International2022-10-02T13:49+00002022-10-02T13:49+00002022-10-02T13:49+0000americasustwitterelon musktesla/html/head/meta[@name='og:title']/@content/html/head/meta[@name='og:description']/@contenthttps://cdnn1."
A00014,"Peloton, Lululemon settle lawsuit over apparel line",Syndicated Content,"#Peloton Interactive Inc#Lululemon Athletica IncTerms of UsePrivacy PolicyDo Not Sell My InfoHelp CenterAbout Elon Musk on Tuesday revived his offer to buy social networking site Twitter for $44bn, after previously attempting to back out of the high-profile deal.The Tesla billionaire proposed the price, which equals the original valuation of $54.20 a share, in a letter to Twitter filed on Monday with the Securities and Exchange Commission.Mr Mus broke his silence on the deal on Twitter late Tuesday, writing: 'Buying Twitter is an accelerant to creating X, the everything app'."
A00015,"'I just want Twitter to be maximum amazing.' Elon Musk texts show Twitter friendship, feud",Matt O'Brien,"Twitter-Musk dispute heading for October trialElon Musk lost his fight to delay Twitter's lawsuit against him as a Delaware judge on Tuesday set an October trial (July 19)DOVER, Del. (AP) â€” Newly disclosed text messages between Elon Musk and Twitter CEO Parag Agrawal showed that the two men briefly bonded in the spring over their love of engineering â€” at least until Musk publicly tweeted this message early on April 9: 'Â Is Twitter dying?Â ''That soured a relationship that appeared to bloom around the time TwitterÂ offered the billionaire Tesla CEO a board seatÂ after learning that he had purchased a huge stake in the company."
A00016,"$230 Billion Worth Businessman Elon Musk's Investment Is A ""Great Pickup"" As It Thrills The Streaming Community",Ripan Majumdar,"Published 09/30/2022, 10:30 AM EDTTesla CEO Elon Musk's recent $3 billion investment has impressed the business world. Further, the hot tub and ASMR streamer Amouranth also praised Musk's financial power move.ADVERTISEMENTArticle continues below this adKaitlyn' Amouranth' Siragusa is one of the biggest streamers on Twitch, with over 5.9 million subscribers. She rose to fame thanks to her hot tub streams, which have attracted a lot of audiences.ADVERTISEMENTArticle continues below this adAside from being a successful streamer, she is also a successful businesswoman, owning businesses like a Gas Station and a Pool Toy company."
A00017,"Elon Musk, Parag Agrawal bonded over engineering before Twitter deal",Sounak Mukhopadhyay,"Elon Musk and Twitter CEO Parag Agrawal grew close over their shared passion for engineering, recently-released text exchanges show. After learning that Musk had acquired a sizable investment in the business, Twitter gave him a seat on its board but Musk thought it would be a waste of time. Musk told Agrawal that he had 'a ton of ideas"" but he thought he was 'pushing too hard"". Musk texted Agrawal, 'I just want Twitter to be maximum amazing."" Also Read: Elon Musk makes mother sleep in garage - here's why It apparently happened during the spring until the Tesla CEO tweeted in April: 'Is Twitter dying?"" Agrawal questioned Musk about his public criticism of Twitter, calling the remarks disruptive and damaging to the business."
A00018,Elon Musk v. Twitter: Private Text Dump Shows Tesla CEO â€˜Workshopping' Buyout Deal Aspects,Svetlana Ekimenko,"https://sputniknews.com/20220930/elon-musk-v-twitter-private-text-dump-shows-tesla-ceo-workshopping-buyout-deal-aspects-1101375197.htmlElon Musk v. Twitter: Private Text Dump Shows Tesla CEO â€˜Workshopping' Buyout Deal AspectsElon Musk v. Twitter: Private Text Dump Shows Tesla CEO â€˜Workshopping' Buyout Deal AspectsTwitter and Elon Musk are due in court on October 17 in the legal battle over whether the Tesla CEO has to follow through on the merger agreement he signed to... 30.09.2022, Sputnik International2022-09-30T13:56+00002022-09-30T13:56+00002022-09-30T13:56+0000elon musktwitterjack dorseyteslaamericasus/html/head/meta[@name='og:title']/@content/html/head/meta[@name='og:description']/@contenthttps://cdnn1."
A00019,Meet the Musk family,Thabo Baloyi,"Tesla founder Elon Musk comes from a large family of overachievers â€“ all of whom have charted their own paths and managed to accumulate their own fortunes. With Elon being one of the most influential â€“ and the wealthiest person in the world, he is a tough act to follow for his two siblings. The Musk patriarch, Errol, made his fortune working in construction and owning an emerald mine when the family still lived in South Africa. The 79-year-old was reporredly the youngest person in the country to earn a professional qualification in Engineering, according to Rolling Stone."
A00020,"Hurricane Ian: Elon Musk, Florida to provide Starlink satellites for connectivity",Reuters,"Reuters Oct 02, 2022, Updated Oct 02, 2022, 8:48 AM IST Florida Governor Ron DeSantis said SpaceX Chief Executive Elon Musk agreed to provide the company's satellite internet service, Starlink, for help in response to Hurricane Ian in areas of Southwest Florida still without connectivity. ""We are working with Elon Musk and Starlink satellite. They are positioning those Starlink satellites to provide good coverage in Southwest Florida and other affected areas,"" DeSantis told reporters on Saturday."
A00021,"Elon Musk's Private Texts About The Twitter Deal With Joe Rogan, Jack Dorsey, Parag Agrawal And More Made Public Leading Up To The Trial",Phillip Hamilton,"Roughly 40 pages worth of Tesla CEO Elon Musk's private text messages regarding his plans to buy Twitter were made public yesterday, revealing conversations he had with people including Twitter CEO Parag Agrawal, ex-CEO and co-founder of Twitter Jack Dorsey and podcaster Joe Rogan, to name just a few.
The texts, which are available on Document Cloud, come just over two weeks before Twitter's lawsuit against Musk for backing out of a 34 billion-dollar Twitter deal starts on October 17th. Musk's countersuit claims that the deal was invalidated and that Twitter mislead its investors for several reasons, including not providing adequate information on the site's spam accounts, firing senior employees and making business moves without consulting with Musk and misstating user numbers."
A00022,"'I just want Twitter to be maximum amazing': Elon Musk texts show Twitter friendship, feud",Matt O'Brien,"Twitter-Musk dispute heading for October trialElon Musk lost his fight to delay Twitter's lawsuit against him as a Delaware judge on Tuesday set an October trial (July 19)DOVER, Del. (AP) â€” Newly disclosed text messages between Elon Musk and Twitter CEO Parag Agrawal showed that the two men briefly bonded in the spring over their love of engineering â€” at least until Musk publicly tweeted this message early on April 9: 'Â Is Twitter dying?Â ''That soured a relationship that appeared to bloom around the time TwitterÂ offered the billionaire Tesla CEO a board seatÂ after learning that he had purchased a huge stake in the company."
A00023,"The Rich, Famous and In-Between Vie for Elon Musk's Attention",Rob Copeland,"Elon Musk is embroiled in litigation surrounding his takeover bid for Twitter.
If there were any lingering doubts, it's good to be Elon Musk.
Months of private messages made public in the litigation surrounding the Tesla Inc. chief executive officer's takeover of Twitter show the degree to which the entrepreneur's ring of acquaintances and confidants curried favor from Mr. Musk."
A00024,Tesla AI Day News Roundup [Updating],Maria Merano,"#Tesla Cars#Humanoid Robot#Tesla Autopilot#Videos#CybertruckTerms of UsePrivacy PolicyDo Not Sell My InfoHelp CenterAboutTesla's long-anticipated AI robot made its official debut by dancing and waving on stage at the company's AI Day. ""The robot can actually do a lot more than we showed you. We just didn't want it to fall on its face,"" Elon Musk said. At last year's AI Day, Musk...Elon Musk's Tesla is ready to expand from fleets of electric cars to legions of humanoid robots. The Texas-based company is looking to deploy thousands of robots, called Tesla Bot or Optimus, in its factories and elsewhere, Reuters reported."
A00025,Elon Musk set to showcase Tesla's humanoid robot after delay,Reuters,"Reuters Sep 30, 2022, Updated Sep 30, 2022, 5:42 PM IST Â Tesla CEO Elon Musk has said a robot business will be worth more than its cars, and on Friday investors, customers and potential workers expect to see a prototype at Tesla's ""AI Day"" that could prove whether the bot named ""Optimus"" is ready for work. The robot will be the star of the AI show, but Musk is also expected to discuss Tesla's long-delayed self-driving technology. In May, Musk said that the world's most valuable carmaker would be ""worth basically zero"" without achieving full self-driving capability, and it faces growing regulatory probes, as well as technological hurdles."
A00026,Tesla CEO Musk Unveils First Humanoid Robot 'Optimus',Sputnik International,"https://sputniknews.com/20221001/tesla-ceo-musk-unveils-first-humanoid-robot-optimus---video-1101405583.htmlTesla CEO Musk Unveils First Humanoid Robot 'Optimus' - VideoTesla CEO Musk Unveils First Humanoid Robot 'Optimus' - VideoAt the 'AI Day' event, Elon Musk said that Tesla's goal is to create an affordable robot that will cost less than a car. 01.10.2022, Sputnik International2022-10-01T08:52+00002022-10-01T08:52+00002022-10-01T08:52+0000science & techteslaelon muskrobot/html/head/meta[@name='og:title']/@content/html/head/meta[@name='og:description']/@contenthttps://cdnn1."
A00027,Amber Heard Wanted Marry & Start A Family With Elon Musk? Her Father Once Claimed So!,,"Amber Heard's Father Once Claimed She Wanted To Start A Family With Elon Musk(Photo Credit â€“Instagram/wikimedia)
Amber Heard once wanted to settle down with Elon Musk? It is not a secret anymore that they were in a relationship. Since the Johnny Depp case, many new scandalous details about the Aquaman actress and the billionaire's relationship have come forward. It is said that Amber had a manipulative relationship with Elon.
For the unversed, rumours are rife that the actress used to host s*x parties, and the Tesla founder, amongst many others, was in attendance."
A00028,The Complicated Truth About Elon Musk's Mom And His Relationship With His Parents,View Archive,"Everyone knows Elon Musk as a pioneer, a businessman, an engineer, an architect, and a billionaire. With a net worth of $259.8 billion, Musk is also the founder of SpaceX, Tesla, The Boring Company, and co-founder of Neuralink, OpenAI, and PayPal. The father of nine was born in South Africa to a Canadian mother and a South African father. He had a tough and dangerous childhood and grew up with divorced parents and two younger siblings. Even after his major success and being one of the richest people on the planet, he learned that being a billionaire doesn't solve all the problems in the world."
A00029,Elon Musk reveals the new Tesla Cybertruck will double as a boat,Jak Connor,"Tesla CEO Elon Musk has revealed a new requirement for the highly anticipated Cybertruck, with the Tesla founder now saying it'll double as a boat.Tesla has been developing its highly anticipated Cybertruck since it was revealed back in 2019, and now Tesla CEO Elon Musk has revealed a new unique feature. SpaceX and Tesla CEO Elon Musk has taken to his personal Twitter account to announce that Tesla's Cybertruck, that's currently in development, will have a level of waterproof that will enable it to serve as a boat briefly."
A00030,Elon Musk Texts Reveal Frustration: 'Fixing Twitter By Chatting With Parag Won't Work',Shivdeep Dhaliwal,"A dump of text messages featuring Elon Musk's interactions with Twitter Inc.Â TWTR founder Jack Dorsey and its CEO Parag Agrawal and a host of other bigwigs indicates the Tesla Inc.Â TSLA CEO's frustrations with his Twitter counterpart.What Happened: In a text message interaction, Musk said in April, 'Fixing Twitter by chatting with Parag won't work.'The message came ahead of him putting the deal on temporary hold in May.Â Before that, in April, Agrawal asked Musk about one of his tweets that questioned if 'Twitter is dying."
A00031,"""Do people get upset at you if you do certain things""- The infamous moment when Joe Rogan and Elon Musk lit up a blunt that ended up shocking the world",Johny Payne,"Back in September 2018, Joe Rogan and Elon Musk engaged in a conversation regarding marijuana, tobacco, and whiskey on the Joe Rogan Experience (JRE) podcast. 
In the JRE episode that featured Musk as a guest, Rogan lit up a blunt (a cigarette comprising marijuana inside a tobacco-based wrap). Musk asked about it, to which Rogan replied: ""It's marijuana inside of tobacco. You've ever had that? You probably can't because of stockholders, right? How does that work? Do people get upset at you if you do certain things?""
The episode was filmed in the U."
A00032,"FTX's Sam Bankman-Fried Considered Partnering with Elon Musk in Twitter Deal, Texts Reveal",Bhushan Akolkar,"Coinspeaker
FTX's Sam Bankman-Fried Considered Partnering with Elon Musk in Twitter Deal, Texts Reveal
Through April, Bankman-Fried and Musk exchanged several messages. In one, Bankman-Fried shared a post about how blockchain could be integrated into Twitter.
FTX's Sam Bankman-Fried Considered Partnering with Elon Musk in Twitter Deal, Texts Reveal"
A00033,Tesla CEO Elon Musk showcases humanoid robot â€“ video,,"Tesla's CEO, Elon Musk, showcases his humanoid robot 'Optimus' at the electric vehicle maker's AI Day event. The billionaire has said a robot business will be worth more than its cars; Tesla's self-driving cars have not yet become a reality. A prototype of the robot walks on stage and waves to the audience. A video of it carrying a box, watering plants and moving metal bars in the Tesla factory is shown.'Our goal is to make a useful humanoid robot as quickly as possible,' Musk said at the event in Palo Alto, California."
A00034,"Read Elon Musk's Private Texts With Joe Rogan, Jack Dorsey, Larry Elllison, and More",Matt Novak,"Elon Musk's private texts were included in new court filings on Thursday as part of the lawsuit brought by Twitter to make the billionaire buy the social media company. And whatever you think of Musk's weird attempt to back out of the deal to buy Twitter for $US44 ($61) billion, the texts provide a fascinating behind-the-scenes glimpse at 21st century dealmaking in the tech sector.The texts, which were first published online by New York Times reporter Kate Conger, include exchanges Musk had with podcaster Joe Rogan, Twitter cofounder Jack Dorsey, tech investor Jason Calacanis, and Oracle founder Larry Ellison, among plenty of others."
A00035,Elon Musk's texts to Twitter CEO Parag Agrawal reveal heated negotiations,Opindia Staff,"News ReportsSocial MediaTechWorld 

 


Elon Musk pulledÂ outÂ of the $44 billion TwitterÂ deal in July this year. (Image: Republic World)

As part of the continuing legal dispute with Twitter, Elon Musk's private conversations with Twitter's top management have now been made public. These text messages show how Elon Musk's relationship with Twitter CEO Parag Agrawal dramatically nosedived months before the social media giant sued Musk for contract violation.
The messages, which were made public on Thursday in a court filing, provide additional light on Musk's interactions with Twitter's CEO Parag Agrawal as well as his discussions with the company's former CEO Jack Dorsey."
A00036,Elon Musk launches new humanoid â€˜Optimus' robot at Tesla's AI Day,Digit Newsdesk,"By Digit NewsDesk | Published 01 Oct 2022 18:18 IST 
HIGHLIGHTS 
 
 Elon Musk launches new humanoid â€˜Optimus' robot at Tesla's AI Day
 Tesla CEO Elon Musk launched a prototype of a humanoid ""Optimus"" robot, which Musk believes Tesla can bring to market for 'less than $20,000'. Tesla has previously launched Bumble C, which is the first version of the bot and it was developed with 'semi off-the-shelves' actuators. It served as a testing bed for Tesla's first robot developed with in-house parts. Tesla presented a video of the robot performing tasks in a controlled environment to demonstrate some level of usefulness."
A00037,Elon Musk will deliver Starlink satellites to Florida in aft...,,"(MENAFN) Elon Musk committed to provide Starlink, the company's satellite internet service, in reaction to Hurricane Ian in portions of Southwest Florida that are still without access.



Florida Governor Ron DeSantis said SpaceX CEO Elon Musk agreed to give the company's satellite internet service, Starlink, to assist in the response to Hurricane Ian in portions of Southwest Florida that remain without access.



""We are working with Elon Musk and Starlink satellite. They are positioning those Starlink satellites to provide good coverage in Southwest Florida and other affected areas,"" DeSantis informed journalists on Saturday."
A00038,"Elon Musk could be aiming for a James Bond-style Tesla Cybertruck, here's how",www.ETAuto.com,"Tesla CybertruckThe Tesla Cybertruck is one of the most unique-looking vehicles of modern times. Despite the unveiling having been done long back, the vehicle's production has been delayed and we are yet to see an improvement on the earlier model of the Cybertruck.In a recent tweet, Tesla CEO Elon Musk opened up on another terrain-crossing possibility of the Cybertruck, that of it being used like a boat. Elon Musk seemed certain that the Cybertruck could briefly function as a boat too on account of it being 'waterproof enough to serve as a boat."
A00039,Elon Musk Slated to Unveil Humanoid Robot Optimus at Tesla's AI Day,Meghan Bobrowsky,"Elon Musk has said that robots such as Optimus could change the economy, potentially alleviating labor shortages. Photo: TESLA/via REUTERSBy Meghan Bobrowsky and Rebecca ElliottSept. 30, 2022 10:02 am ETListen to article(2 minutes)Elon Musk aims to show off a new humanoid robot Friday at a Tesla artificial intelligence event, part of the chief executive's effort to shape public perception of the company as more than an electric-vehicle maker.Mr. Musk first laid out the vision for the robot, called Optimus, little more than a year ago at Tesla's first-ever AI day."
A00040,Elon Musk's floating Cybertruck tweet torpedoed by government agencies,Ktvu Fox,"Terms of UsePrivacy PolicyDo Not Sell My InfoHelp CenterAboutRead full article on original websiteNEW YORK - Elon Musk is abandoning his legal battle to back out of buying Twitter by offering to go through with his original $44 billion bid for the social media platform. The mercurial Tesla CEO made the offer in a letter to Twitter, Musk disclosed in a filing Tuesday with the U.S. Securities and Exchange Commission.Oct 4 (Reuters) - Billionaire Elon Musk is proposing to go ahead with his original offer of $44 billion to take Twitter Inc (TWTR."
A00041,Elon Musk reveals humanoid Tesla bot 'Optimus' and its price,Jak Connor,"Tesla CEO Elon Musk has revealed the next-gen humanoid Tesla robot at Tesla's AI Day, outlining the cost and goals for the new bot.Tesla's brand new AI robot named Optimus was revealed at the company AI Day 2022, with Tesla CEO Elon Musk even discussing the price of the next-gen robot. Elon Musk has appeared at Tesla's AI Day, and to kick off the show, the CEO brought out the highly anticipated Tesla bot that has been nicknamed Optimus. Musk gave a brief overview of what the company plans on achieving with Optimus and how it would impact the wider economy if Optimus could perform general manual labor."
A00042,"Elon Musk Unveils Prototype of Tesla's Humanoid Robot Optimus, Says It Will Cost Less Than a Car",Meghan Bobrowsky,"Elon Musk unveiled a prototype of Tesla's humanoid robot Optimus, part of an effort to shape perception of the company as more than just a car maker. The Tesla CEO said the robot is expected to cost less than a car. Photo: AFP Photo/Handout/TeslaBy Meghan Bobrowsky and Rebecca ElliottUpdated Oct. 1, 2022 10:46 am ETListen to article(2 minutes)Elon Musk showed off a new humanoid robot Friday at a Tesla artificial-intelligence event, part of the chief executive's effort to shape public perception of the company as more than an electric-vehicle maker."
A00043,Tesla boss Elon Musk presents humanoid robot Optimus,Fijivillage,"Tesla boss Elon Musk presents humanoid robot Optimus

Tesla boss Elon Musk presents humanoid robot Optimus

[Photo: Elon Musk Twitter page]

Tech billionaire Elon Musk has presented the latest prototype of a humanoid robot being developed by his Tesla electric car company.

Optimus appeared on stage at a Silicon Valley event, where it waved to the audience and raised its knees.

The CEO said the robot was work-in-progress but could be on sale to the public in a few years' time.

Tesla Bot coming out and dancing ðŸ¤£ @elonmusk pic."
A00044,"Elon Musk's Private Texts To Jack Dorsey, Parag Agrawal Shed Light on Twitter Deal",Sharmishte Datti,"Elon Musk's Private Texts To Jack Dorsey, Parag Agrawal Shed Light on Twitter Deal News oi -Sharmishte Datti

Elon Musk and the Twitter drama has taken a legal route and the hearing will begin soon. Ahead of the legal hearing, Elon Musk's private messages were made public and revealed in a court filing. The private texts give us a good look at the negotiations of the Elon Musk-Twitter deal.

Here, the private messages between Elon Musk and Twitter CEO Parag Agarwal were presented in a court filing."
A00045,Elon Musk Says That The New Tesla Cybertruck Will Double As A Boat,Jannat Un Nisa,"Tesla has been working on its highly anticipated Cybertruck since its debut in 2019, and now Tesla CEO Elon Musk has announced a new unique feature. Elon Musk, CEO of SpaceX and Tesla, said on his personal Twitter account that Tesla's Cybertruck, which is presently in development, will be waterproof enough to serve as a boat for a short time. 
Cybertruck will be waterproof enough to serve briefly as a boat, so it can cross rivers, lakes & even seas that aren't too choppyâ€” Elon Musk (@elonmusk) September 29, 2022
 This new function, which Musk first discussed in 2020 when he stated that the Cybertruck could 'float for a while,' appears to have been improved upon and further developed, as Musk is now suggesting that the Cybertruck may temporarily double as a boat."
A00046,Elon Musk texted with Jack Dorsey not long before the $44 billion offer,Aislinn Murphy,"Elon Musk exchanged text messages with Twitter co-founder Jack Dorsey a few weeks before he made his $44 billion offer to buy Twitter, a court filing showed Thursday. Dorsey texted Musk in late March, saying he left Twitter because a ""new platform is needed"" and it ""can't be a company,"" according to a court filing related to Twitter and Musk's legal battle that was uploaded to DocumentCloud by New York Times reporter Kate Conger. When Musk asked what it should look like, Dorsey said Twitter ""must be an open source protocol, funded by a foundation of sorts that doesn't own the protocol, only advances it."
A00047,"Optimus, the Tesla Bot, Is Finally Here. Sorta. Well, at the Very Least It's Not a Guy in a Suit.",Lucas Ropek,"#Humanoid Robot#Optimus#Suit#AmericansTerms of UsePrivacy PolicyDo Not Sell My InfoHelp CenterAboutRead full article on original websiteWar may be hell, but it can sure cut through a lot of red tape. Just ask Tesla (TSLA) CEO Elon Musk. Musk, the world's richest man, spoke with the former ""Tonight Show"" host Jay Leno on Sept. 21 during an episode of ""Jay Leno's Garage."" The comedian and the entrepreneur spoke during a tour of Musk's SpaceX facility in Brownsville, Texas.Former Disney CEO Bob Iger says that a 'substantial portion' of Twitter's users were believed to be bots in 2016, when the company was deep into talks to purchase the social network."
A00048,Elon Musk says that Tesla Optimus Robot will probably be available for public purchase in 3-5 years,Asif Khan,"Tesla AI Day 2022 is wrapping up, but Elon Musk did let us know that the Optimus robot will be available for customer purchases in 3-5 years. 
Tesla AI Day 2022's marathon presentation is wrapping up, but Elon Musk just dropped some more news during the question and answer session. In reply to an attendee's question about when Tesla's robot would be available, Musk said that it will likely be 3-5 years. Tesla's CEO is known for making projections that end up being delayed, so take this statement with a grain of salt."
A00049,Tesla's Elon Musk shows off humanoid robot 'Optimus' prototype with expected $20K price tag,Caitlin McFall,"Tesla CEO Elon Musk on Friday showed off a humanoid robot prototype dubbed ""Optimus,"" saying he hopes to make millions of the machines and sell to consumers with a $20,000 price tag. Musk had the robot walk on stage and wave at the crowd but withheld it from doing more complicated tasks because he ""didn't want it to fall on its face.""A video of the robot showed that it could handle more complicated tasks like carrying boxes and placing a metal bar into what appeared to be a factory machine. A humanoid robot developed by Tesla, known as Tesla Bot or Optimus, is shown in a frame grab from the live video of Tesla's AI Day streamed on August 20, 2022."
A00050,Elon Musk's private texts about buying Twitter have been revealed,Jeff Parsons,"Elon Musk's appearance in front of a US court over his ongoing battle with Twitter may be a few weeks away, but we've got something to whet the appetite.
A cache of the billionaire's private texts have been revealed as part of the discovery process and it makes for interesting reading.
Among other influential figures, Musk had contact with Jack Dorsey, Twitter's co-founder and Parag Agrawal â€“ the current CEO of the social media platform.
And the messages, revealed in a court filing, don't paint a flattering picture."
